date,year,month,day,rest stop,revenue
2023-05-13,2023,5,13,中壢,400561
2023-05-14,2023,5,14,中壢,399759
2023-05-15,2023,5,15,中壢,266689
2023-05-16,2023,5,16,中壢,291200
2023-05-17,2023,5,17,中壢,290125
2023-05-18,2023,5,18,中壢,295309
2023-05-19,2023,5,19,中壢,334326
2023-05-20,2023,5,20,中壢,398549
2023-05-21,2023,5,21,中壢,418050
2023-05-22,2023,5,22,中壢,251219
2023-05-23,2023,5,23,中壢,291701
2023-05-24,2023,5,24,中壢,273331
2023-05-25,2023,5,25,中壢,346346
2023-05-26,2023,5,26,中壢,443194
2023-05-27,2023,5,27,中壢,413794
2023-05-28,2023,5,28,中壢,419638
2023-05-29,2023,5,29,中壢,312305
2023-05-30,2023,5,30,中壢,322734
2023-05-31,2023,5,31,中壢,365813
2023-06-01,2023,6,1,中壢,267872
2023-06-02,2023,6,2,中壢,345036
2023-06-03,2023,6,3,中壢,400553
2023-06-04,2023,6,4,中壢,418977
2023-06-05,2023,6,5,中壢,284722
2023-06-06,2023,6,6,中壢,299782
2023-06-07,2023,6,7,中壢,305824
2023-06-08,2023,6,8,中壢,295707
2023-06-09,2023,6,9,中壢,335308
2023-06-10,2023,6,10,中壢,408563
2023-06-11,2023,6,11,中壢,403557
2023-06-12,2023,6,12,中壢,287763
2023-06-13,2023,6,13,中壢,325868
2023-06-14,2023,6,14,中壢,270992
2023-06-15,2023,6,15,中壢,293384
2023-06-16,2023,6,16,中壢,358766
2023-06-17,2023,6,17,中壢,381666
2023-06-18,2023,6,18,中壢,392189
2023-06-19,2023,6,19,中壢,299074
2023-06-20,2023,6,20,中壢,339498
2023-06-21,2023,6,21,中壢,372236
2023-06-22,2023,6,22,中壢,378624
2023-06-23,2023,6,23,中壢,449454
2023-06-24,2023,6,24,中壢,460423
2023-06-25,2023,6,25,中壢,386651
2023-06-26,2023,6,26,中壢,288474
2023-06-27,2023,6,27,中壢,406647
2023-06-28,2023,6,28,中壢,351849
2023-06-29,2023,6,29,中壢,322549
2023-06-30,2023,6,30,中壢,541140
2023-07-01,2023,7,1,中壢,398607
2023-07-02,2023,7,2,中壢,416984
2023-07-03,2023,7,3,中壢,322062
2023-07-04,2023,7,4,中壢,315380
2023-07-05,2023,7,5,中壢,298844
2023-07-06,2023,7,6,中壢,315093
2023-07-07,2023,7,7,中壢,363546
2023-07-08,2023,7,8,中壢,415846
2023-07-09,2023,7,9,中壢,411308
2023-07-10,2023,7,10,中壢,306181
2023-07-11,2023,7,11,中壢,337020
2023-07-12,2023,7,12,中壢,310333
2023-07-13,2023,7,13,中壢,345872
2023-07-14,2023,7,14,中壢,347502
2023-07-15,2023,7,15,中壢,425252
2023-07-16,2023,7,16,中壢,441725
2023-07-17,2023,7,17,中壢,313573
2023-07-18,2023,7,18,中壢,327751
2023-07-19,2023,7,19,中壢,316296
2023-07-20,2023,7,20,中壢,340070
2023-07-21,2023,7,21,中壢,358968
2023-07-22,2023,7,22,中壢,426221
2023-07-23,2023,7,23,中壢,446298
2023-07-24,2023,7,24,中壢,336360
2023-07-25,2023,7,25,中壢,410102
2023-07-26,2023,7,26,中壢,295928
2023-07-27,2023,7,27,中壢,383587
2023-07-28,2023,7,28,中壢,376754
2023-07-29,2023,7,29,中壢,451635
2023-07-30,2023,7,30,中壢,444600
2023-07-31,2023,7,31,中壢,459732
2023-08-01,2023,8,1,中壢,310151
2023-08-02,2023,8,2,中壢,306458
2023-08-03,2023,8,3,中壢,302451
2023-08-04,2023,8,4,中壢,342993
2023-08-05,2023,8,5,中壢,452968
2023-08-06,2023,8,6,中壢,453809
2023-08-07,2023,8,7,中壢,308442
2023-08-08,2023,8,8,中壢,355697
2023-08-09,2023,8,9,中壢,363394
2023-08-10,2023,8,10,中壢,355918
2023-08-11,2023,8,11,中壢,376248
2023-08-12,2023,8,12,中壢,468435
2023-08-13,2023,8,13,中壢,500360
2023-08-14,2023,8,14,中壢,325585
2023-08-15,2023,8,15,中壢,318990
2023-08-16,2023,8,16,中壢,333432
2023-08-17,2023,8,17,中壢,496778
2023-08-18,2023,8,18,中壢,362626
2023-08-19,2023,8,19,中壢,461955
2023-08-20,2023,8,20,中壢,504102
2023-08-21,2023,8,21,中壢,325489
2023-08-22,2023,8,22,中壢,343747
2023-08-23,2023,8,23,中壢,322088
2023-08-24,2023,8,24,中壢,327611
2023-08-25,2023,8,25,中壢,502115
2023-08-26,2023,8,26,中壢,454810
2023-08-27,2023,8,27,中壢,436601
2023-08-28,2023,8,28,中壢,348289
2023-08-29,2023,8,29,中壢,345779
2023-08-30,2023,8,30,中壢,307252
2023-08-31,2023,8,31,中壢,442613
2023-09-01,2023,9,1,中壢,443964
2023-09-02,2023,9,2,中壢,419419
2023-09-03,2023,9,3,中壢,365173
2023-09-04,2023,9,4,中壢,281390
2023-09-05,2023,9,5,中壢,307896
2023-09-06,2023,9,6,中壢,291324
2023-09-07,2023,9,7,中壢,300547
2023-09-08,2023,9,8,中壢,339547
2023-09-09,2023,9,9,中壢,453392
